,ref
545,王尽美：尽善尽美唯解放
546,毛泽东何以缺席中共六大却当选中央委员
547,黄克诚：拒绝公车接新娘
548,党建引领聚人心  典型引路扬正气  推动“两学一做”学习教育常态化制度化——山西乡宁焦煤集团台头煤焦有限责任公司工作综述
549,中国共产党第五次全国代表大会在汉召开
550,以新世纪为新起点努力把宣传思想工作提高到一个新的水平——丁关根同志在全国宣传部长会议上的讲话摘要
551,渡江战役解放的江南第一县
552,粟裕与杜聿明在淮海战役中的较量
553,林伯渠对陕甘宁边区党的纪律建设的贡献
554,从中共一大围绕党纲的争论看中共早期组织纪律建设缘起
555,联共(布)、共产国际与中共五大、六大关系的比较研究
556,丰硕的成果——北京市保持共产党员先进性教育活动成效概览
557,中共十大后形成的“四人帮”与政治局多数的对立
558,中共七大会议精神学习贯彻情况的历史考察——基于《解放日报》相关报道的分析
559,关于华林是否参加中共五大的若干考证
560,毛泽东著作选读（下册）
561,保持共产党人的政治操守和优良作风——重读周恩来《过好“五关”》
562,《群众》周刊(1937—1949)传播毛泽东思想的文本样态及启示
563,毛泽东《党委会的工作方法》的理论价值和现实意义——兼论重温马克思主义经典著作的学习方法和思想方法
564,红三军团参谋长邓萍中央苏区轶事
565,萧劲光转战黑土地
566,习近平总书记在中国共产党第十九次全国代表大会上的报告摘录
567,毛泽东选集（第二卷）
568,论建国初期的整风整党运动
569,"我们万众一心,前进!——中国共产党第十六次全国代表大会综述"
570,“老一辈革命家与中共七大——马克思主义中国化和中共七大召开75周年”理论研讨会综述
571,“十月革命与马克思列宁主义传入中国”学术报告会在京举行
572,徐海东:对中国革命有大功的人
573,关于“三讲”集中教育结束后开展“回头看”活动的意见
574,抗战时期邓颖超对培养妇女干部问题的思考
575,高举邓小平理论伟大旗帜  把建设有中国特色社会主义事业全面推向二十一世纪——在中国共产党第十五次全国代表大会上的报告
576,增强和坚定对我党反腐败的信心——学习江泽民同志在中国共产党第十四次全国代表大会上的报告
577,中共四大对党的建设的历史探索
578,毛泽东与中国共产党人精神谱系的构建
579,四渡赤水:三万红军与四十万敌军的生死较量
580,贺龙:下定决心跟党走
581,崇高的敬礼——记滕代远出席国庆25周年招待会
582,黄公略改名:因看《黄石公三略》
583,杨尚昆与新时期广东改革开放的起步
584,聂荣臻与中共七大
585,加强党员在市场经济条件下的党性锻炼——学习中国共产党第十四次全国代表大会文献体会
586,对中共六大的再思考——基于理论视角和档案文献的考察
587,"重庆第二师范学院以抓好“三基”为根本,推进“两学一做”学习教育常态化制度化"
588,强渡嘉陵江 迎接党中央——父亲徐向前长征中的一段故事
589,陈毅元帅一生所担任的职务
590,中共二大至六大党章前没有纲领的原因再探讨
591,革命烽火燃 文笔作刀枪——缅怀江上青烈士
592,不负新时代  实现新作为——热烈祝贺中国共产党第十九次全国代表大会胜利召开
593,渡江战役中的一次突发事件
594,罗瑞卿大将猝死联邦德国的前前后后
595,许光达“让衔”
596,一九五七年整风运动是如何开始的
597,王树声刀劈舅爹
598,陈赓三次入朝记
599,陈赓:从军原是为人民
600,张思德与“为人民服务”
601,传奇式的英雄——钱壮飞
602,“四个结合”推动党史学习教育落实落地
603,近年来李先念社会建设思想的研究综述
604,中国共产党第五次全国代表大会
605,陈云与中共八大
606,淮海战役支前往事
607,习近平关于全面从严治党论述摘编
608,走近中共六大
609,高校也可开展“三讲”教育活动
610,对党的群众路线教育实践活动的再认识
611,陈云、邓小平与中共八大
612,痛击日寇的两次战斗——平型关大捷纪念馆与阳明堡飞机场遗址前的断想
613,胡锦涛在中国共产党第十七次全国代表大会上的报告(摘选)
614,惯性思维的张力与抑制——对1950年党的整风运动重点转移的反思
615,在党史学习教育中传承好百年红色基因
616,试论1957年整风运动的西方动因
617,追述陈延年兼及陈独秀一家
618,中共八大关于反对官僚主义的探索及当代价值
619,阮啸仙成为中共“三大”代表的历史考证
620,"新疆,王震的荣耀之地"
621,中国共产党第十五次全国代表大会
622,论瞿秋白在中共党史学上的贡献
623,习近平关于社会主义生态文明建设论述摘编
624,周恩来对日外交思想中蕴含的智慧
625,“文革”期间周恩来保护廖承志轶事
626,"1978年,叶剑英力荐习仲勋主政广东"
627,建设人民的新上海——论陈毅对上海的接管和经济社会建设的杰出贡献
628,瞿秋白：“想为大家辟一条光明的路”
629,中国共产党第十九次全国代表大会精神相关研究
630,毛泽东缺席中共二大之谜
631,纪念中共四大召开90周年学术研讨会征文启事
632,试论抗战时期廖承志在香港领导的创办报刊活动及历史功绩
633,南昌起义前后贺龙事略
634,新四军时期的张云逸
635,坚定不移走中国特色社会主义伟大道路——热烈祝贺中国共产党第十七次全国代表大会开幕
636,邓颖超与天津早期妇女运动
637,在中国特色社会主义伟大旗帜引领下发展——热烈祝贺中国共产党第十七次全国代表大会胜利召开
638,罗瑞卿:从黄埔生到抗大副校长
639,中共四大对民族革命运动的“新审定”与群众观确立的思想逻辑
640,陈潭秋与中共“四大”
641,平津战役中的遵化县万人担架团
642,从中共四大看群众性政党的形成路径
643,总结历史是为了开辟未来——重温邓小平关于党的历史的论述
644,聂荣臻与罗荣桓的革命交往
645,决胜全面建成小康社会  夺取新时代中国特色社会主义伟大胜利——在中国共产党第十九次全国代表大会上的报告
646,毛泽民：“领导干部要带头艰苦奋斗”
647,在四川省庆祝中国共产党成立八十五周年暨保持共产党员先进性教育活动总结大会上的讲话
648,从徐海东的“三问”说起
649,"在中国共产党第十一次全国代表大会上的政治报告(一九七七年八月十二日报告,八月十八日通过)"
650,习近平关于实现中华民族伟大复兴的中国梦论述摘编
651,邓小平文选（第二卷）
652,中日关系：周恩来最具创造性的外交杰作
653,对滕代远向新华社记者介绍铁道建设情况谈话稿的批语
654,董存瑞：勇往直前 舍生取义
655,许家朋：黄继光式的英雄
656,中共六大轶事
657,王震带二弟一家到新疆“吃苦”
658,省委组织部:在“三严三实”专题教育中认真学习贯彻《准则》和《条例》
659,第八届中国社会科学院毛泽东思想论坛
660,贺龙的党员登记表
661,董必武基于法治理念的党建思想及其当代价值
662,滕代远巡视湘鄂赣苏区纪事
663,郑一俊:毛岸英在莫斯科的国学老师
664,刘伯承同志纪念馆
665,大将萧劲光在抗日战争中
666,邓小平与中共七大
667,毛泽东“偏师借重黄公略”
668,"中国共产党章程(中国共产党第十六次全国代表大会部分修改,2002年11月14日通过)"
669,张文秋在“国际红色谍王”佐尔格麾下的秘史
670,中国共产党第一次全国代表大会会址纪念馆
671,人民解放军部署渡江战役
672,周恩来自我批评思想对党风建设的启示
673,以党的宣誓仪式强化“三严三实”专题教育成效
674,四渡赤水是毛泽东同志军事指挥艺术中的得意之笔
675,大将许光达与母校长沙师范学校
676,王尽美在秦皇岛领导工人运动
677,黄公略：杰出的红军将领、军事家
678,习近平提出中共五大优势
679,陈毅与交通大学来往二三事
680,生如闪电之耀亮，死如彗星之迅忽——记中共早期著名政治活动家、理论家高君宇
681,关于苏兆征工人运动思想形成的探究
682,习仲勋生平与思想研究述评
683,高举中国特色社会主义伟大旗帜——回眸中国共产党第十七次全国代表大会
684,"2017年10月18日习近平总书记在中国共产党第十九次全国代表大会上的讲话《决胜全面建成小康社会,夺取新时代中国特色社会主义伟大胜利》"
685,中共“二大”代表群体结构的特点探究
686,以新世纪为新起点努力把宣传思想工作提高到一个新的水平──丁关根同志在全国宣传部长会议上的讲话摘要
687,邓颖超在重庆开展妇女工作纪实
688,中共二大《关于议会行动的决案》探析
689,名将陨落遵义城——邓萍的传奇人生
690,《列宁选集》第三版修订版（第一卷）
691,列宁主义与中国革命——重新理解马克思主义中国化的历史视角
692,洞穿衣领的战斗岁月：辽沈、平津战役亲历者的回忆
693,刘伯承军事论述的生动比喻
694,论王震工业化思想及其在新疆的早期实践
695,毛泽民：中共早期杰出的红色金融家
696,中共中央办公厅印发《关于巩固深化“不忘初心、牢记使命”主题教育成果的意见》
697,百团大战
698,百团大战中的榆次抗日军民
699,叶剑英与红岩精神的形成
700,全面抗战时期任弼时与党的统一战线工作
701,改革开放之初杨尚昆在广东
702,党史回顾  中共十大
703,中共四大：支部建设的历史起点(下)
704,统一思想 凝聚力量 为党的十六大营造良好氛围——丁关根同志在全国宣传部长会议上的讲话摘要
705,《鲁迅日记》中的“陈安仁”并非陈延年
706,敢举烽烟解国忧——聂荣臻的三封书信
707,习仲勋与深圳经济特区纪事
708,资本论
709,中共一大研究成果撷英
710,"粟裕:反常用兵,出奇制胜"
711,邓小平社会主义优越性思想及其当代价值
712,方志敏：为了可爱的中国
713,蔡和森、周方两家的四代交往
714,他用生命鲜血染红了《十月底旗帜》——记江上青烈士
715,解放战争时期整党运动与马克思主义大众化
716,月产炮弹三万余发
717,从革命党向执政党的转变——以中共八大到十八大党章为分析文本
718,彭雪枫:“共产党人好榜样”
719,陈云与中共七大
720,谭震林主政浙江二三事
721,铸造“建军里程碑”文献的谭政大将
722,彭湃:“农民运动大王”
723,参加中共六大的三位江西代表
724,论董必武廉政思想的来源与内涵
725,许光达的“守”之道
726,中共“二大”对制度建党的探索及启示
727,井冈山时期袁文才的一次义举
728,中共二大前之工人党员考
729,不忘初心是试金石——湘籍中共一大代表的命运选择
730,中共二大，创造了党史上的多个“第一”(三)
731,井冈山斗争时期的两个“王佐”
732,中国共产党第八次全国代表大会
733,平津战役前后毛泽东对北平文化的保护
734,党的全面领导的“集结号”:任弼时《关于党的一元化领导问题》
735,从中共七大文献看毛泽东如何应对“大事变”
736,中共党史上的两个李达
737,陶铸关于思想政治工作的理论和实践
738,李先念、徐向前缘何为木兰山泼墨挥毫
739,中国共产党第十九次全国代表大会关于十八届中央纪律检查委员会工作报告的决议
740,试析王若飞对“红岩精神”的培育与铸造
741,从中共七大的历史贡献看百年大党的战略抉择与使命担当
742,彭真立法保障人权的思想与实践
743,萧劲光与延安留守兵团
744,注重学习教育  解决突出问题——对呼盟4户区直国有企业“三讲”、“三个代表”学习教育活动的调查与思考
745,历史永远铭记——记参加中共“五大”中的两名重庆籍四川代表
746,论科学发展观对“三个代表”重要思想的继承与发展
747,罗瑞卿大将与对印自卫反击战
748,改革开放以来中共四大研究述评
749,习仲勋政治生涯的“艰苦岁月”
750,王尽美的工人运动思想与实践
751,董必武:拯国危亡挥斧镰
752,沿着党的十六大指引的方向奋勇前进——热烈祝贺中国共产党第十六次全国代表大会胜利闭幕
753,黄克诚抓党风“不怕撕破脸皮”
754,井冈双雄:袁文才、王佐
755,任弼时是如何做好思想政治工作的
756,中共五大缘何在黄陂会馆召开
757,加强纪律性 革命无不胜——重温朱德《加强党的纪律检查工作》
758,罗炳辉：“为人民尽孝，为革命尽忠”
759,李达:马克思主义法学中国化的奠基者
760,1950年整风运动评析
761,中国共产党章程(中国共产党第十一次全国代表大会一九七七年八月十八日通过)
762,中共五大对党的建设的历史贡献(下)
763,平津战役中的天津地下党
764,中共七大召开的曲折经历
765,中共八大正确路线中断原因浅析
766,中共二大到六大的党章为什么没有总纲部分?
767,江泽民文选（第三卷）
768,罗荣恒忆三湾改编
769,参加中共六大的江西代表及其活动研究
770,中国共产党第十九次全国代表大会关于《中国共产党章程(修正案)》的决议
771,董必武:突出体现了“红船精神”
772,论1957年整风运动走向反面的两个关键因素
773,“迷失”了的革命功臣——彭干臣
774,王尔琢:红色家书立誓“以身许国”
775,李大钊建党思想及其当代价值
776,民族精英气贯长虹——江上青与皖东北抗日民族统一战线
777,听薄一波谈山西高校教育
778,彭干臣:历史无法湮没的英勇干将
779,朱德与中共七大
780,中共三大：作出与国民党合作的历史性决定(中)
781,试论廖承志的统战思想与实践
782,失败的谈判 成功的博弈——林伯渠与1944—1945年国共谈判
783,刘志丹：群众领袖 人民英雄
784,徐海东与毛泽东的深厚革命情谊
785,建瓯廖家大院：毛泽民苏区造纸、造币考察行
786,叶飞与渡江战役
787,中共四大:虹口土地上一座不朽的丰碑——从中共四大纪念馆筹建和发展领略虹口红色文化建设魅力
788,从参会人员构成解读中共四大何以在“无产阶级领导权”问题上取得一致
789,中国共产党第十六次全国代表大会秘书处负责人就十六大通过的《中国共产党章程(修正案)》答新华社记者问
790,王尽美领导京奉铁路局工人罢工
791,加快改革开放和现代化建设步伐夺取有中国特色社会主义事业的更大胜利——中国共产党第十四次全国代表大会上的报告
792,对刘伯承关于南京东善桥林场森林被乱伐情况报告的批语
793,一代先驱、哲人李达——纪念李达诞辰120周年
794,解放战争时期董必武的民主选举思想初探
795,“纪念刘少奇湖南农村调查60周年学术研讨会暨刘少奇思想生平研究会年会”在长沙县召开
796,罗炳辉：“奴隶”变将军
797,论邓恩铭的群众观及其现实启示
798,邓恩铭:中共一大代表
799,粟裕的爱好
800,中共十二大前邓小平思考“小康之家”现代化目标的心路历程
801,薄一波:我国经济工作的卓越领导人
802,党的七大：邓小平政治生涯的新起点——从邓小平对党的七大路线形成的贡献谈起
803,毛泽东党的先进性建设思想及其当代启示
804,"徐向前盛赞谁“能文能武,智勇双全”"
805,粟裕主动为陈赓承担责任
806,蔡和森与中共六大
807,打造“战略轻骑”的人民功臣——罗炳辉
808,中共三大：作出与国民党合作的历史性决定(上)
809,邓小平同志论改革开放
810,毛泽民：从韶山冲走出来的“红色管家”
811,功绩辉煌、一世忠贞的军事家彭雪枫
812,最美中国人——庆祝中国共产党第十九次全国代表大会胜利召开大型美术作品展在京隆重开幕
813,共同创造更加幸福美好的未来——热烈祝贺中国共产党第十八次全国代表大会胜利闭幕
814,高举中国特色社会主义伟大旗帜  为夺取全面建设小康社会新胜利而奋斗——在中国共产党第十七次全国代表大会上的报告
815,深学实做细改  巩固拓展“两学一做”学习教育成效
816,陈云哲学小组:实事求是思想路线确立的推进器
817,方志敏与闽浙赣苏区的“对外贸易”
818,建国初期李先念农业管理思想研究
819,彭雪枫：“共产党人的好榜样”
820,一大代表邓恩铭的职业观及其时代价值
821,中共一大代表何叔衡的革命生涯
822,习近平关于社会主义文化建设论述摘编
823,中国共产党第十四次全国代表大会
824,“党的骆驼”任弼时
825,"王树声:要革命,就不能讲情面"
826,坚持以共产主义思想为核心的精神文明是社会主义建设的一项伟大战略方针——学习胡耀邦同志在中国共产党第十二次全国代表大会上的报告的一点体会
827,1950年新疆整风运动
828,首创“政治练兵”的习仲勋
829,王尔琢:“儿已以身许国”
830,中国共产党第十一次全国代表大会
831,中共二大与党内政治生活基本原则的初步形成
832,"保持共产党员先进性教育活动开展以来  党员队伍不断壮大  党组织覆盖面进一步扩大  截至2005年底,全国党员总数为7080万名"
833,试论瞿秋白在探索中国革命新道路中的贡献
834,中共创立时期共产党人的初心解读——王尽美篇
835,社会主义人民性与科学发展观的内在联系研究
836,中共一大嘉兴南湖会议——此间曾著星星火
837,杨振斌司长为高校“保持共产党员先进性教育活动”征文获奖代表颁奖
838,高君宇在“党的一大”召开前传播马克思主义的积极实践及历史意义——庆祝建党100周年暨纪念高君宇诞辰125周年
839,“贫富阶级见疆场，尽善尽美唯解放”——记中共一大代表王尽美
840,陈毅在上海
841,蔡和森:第一个明确提出成立中国共产党的人
842,中共七大：实现全党空前团结和统一
843,"刘伯承：四参""总戎幕"" 一生跟党走"
844,许光达：坚定选择彰显绝对忠诚
845,中共四大:群众党建设和布尔什维克化的一页
846,毛泽东对太原战役的战略指导
847,陈云的核心意识与邓小平理论的形成
848,中共五大为什么没有能够承担起挽救革命的重任?
849,谭政《关于军队政治工作问题》的报告与军队党建理论成熟与发展
850,董必武的从严治党思想及其当代价值
851,宋任穷两个字里的统战味
852,坚定不移沿着中国特色社会主义道路前进  为全国建成小康社会而奋斗  中国共产党第十八次全国代表大会在京召开  胡锦涛代表第十七届中央委员会向大会作报告
853,关于《陶铸传》中一个红军游击队番号的考析
854,中国共产党第十八次全国代表大会关于十七届中央委员会报告的决议
855,张云逸对广西各族人民的深厚感情及教育意义
856,为什么说中共四大对中国革命的一些基本问题进行了系统的阐述?
857,上海举行纪念中共四大召开95周年暨虹口区红色文化建设专家研讨会
858,中共一大召开的幕后身影
859,袁文才王佐在井冈山时期担任的职务概述
860,中共“三大”与第一次国共合作
861,王震长沙纵论左宗棠
862,"在中国共产党第十次全国代表大会上的报告(一九七三年八月二十四日报告,八月二十八日通过)"
863,陈赓四次南昌之行彰显共产党人政治品格
864,谷牧与广东改革开放(下)
865,新中国成立后周恩来关于防灾减灾救灾的思想
866,林伯渠同志是彻底革命的光辉典范
867,彭德怀与邓萍的战友情
868,大革命时期滕代远领导长沙郊区农民运动
869,首提“初心”的董必武
870,党史回顾:中共十二大
871,在开展保持共产党员先进性教育活动中加强和改进典型宣传工作
872,共产党讲的是另一种人情——毛泽东、毛岸英致亲人的两封信
873,高举邓小平理论伟大旗帜　把建设有中国特色社会主义事业全面推向二十一世纪──在中国共产党第十五次全国代表大会上的报告
874,张思德精神与大学生思想政治教育
875,贯彻群众路线  加强作风建设——山西省投资集团党的群众路线教育实践活动纪实
876,高校创先争优活动系列政策的价值蕴意
877,陈赓智取直罗镇
878,敦厚谭政
879,出席中共七大的四位重庆籍代表是谁
880,陶铸重建中共闽南特委
881,传奇大将王树声
882,一篇党史学习教育的经典教材——重温刘少奇《中国历史的发展离不开中国共产党》
883,任弼时怎样“按实际情形而运用经验与理论”——以1924年9月—1928年3月的青年团工作为例
884,中国特色社会主义道路的新起点——回眸中国共产党第十三次全国代表大会
885,“九月来信”前后，陈毅如何化解党内矛盾
886,“淮海战役的胜利，是人民群众用小车推出来的”
887,刘玉亭副局长在总局机关传达贯彻中国共产党第十七次全国代表大会精神大会上的讲话
888,《中国共产党第十二次全国代表大会开幕词》备课体会
889,建国初期李先念妇权思想简论
890,纪念中共二大召开95周年学术研讨会在上海举行
891,"在中国共产党第十一次全国代表大会上关于修改党的章程的报告(一九七七年八月十三日报告,八月十八日通过)"
892,学习、弘扬林伯渠崇高的政治品格
893,驻波兰首任将军大使彭明治
894,钱塘江畔“谭老板”——记首任浙江省委书记谭震林
895,董存瑞:舍身炸碉堡
896,在中国共产党第十一次全国代表大会上的闭幕词(一九七七年八月十八日)
897,无私大爱彭德怀
898,中国共产党第六次全国代表大会
899,邵力子、叶剑英激书《满江红》悼念抗战英雄
900,解放战争时期的整党运动
901,常态化开展大学生党员“不忘初心、牢记使命”主题教育路径探析
902,张国焘与他要“开除”的中共四大领袖
903,张云逸:“一个懂经济的军事家”
904,廖运周潜伏敌营20年淮海战役中率部起义
905,云南陆军讲武堂：朱德和叶剑英早期革命从这里出发
906,徐海东主动任副职
907,论王若飞的抗日持久战思想
908,论潘汉年对第二次国共合作的卓越贡献
909,邓萍与彭德怀的真挚革命友情
910,西南局时期的宋任穷
911,中共八大珍闻知多少
912,深入学习实践科学发展观活动总结之经验七:军民融合写新篇——河南某预备役高炮师依靠军民融合谋求科学发展纪实
913,迎接大革命高潮的历史准备:中共四大文献研读
914,论十年建设时期薄一波的企业管理思想
915,皖东北抗日民主根据地的奠基人——纪念江上青烈士诞辰100周年
916,中共三大前后的阮啸仙
917,抗美援朝战争中的金城战役
918,全国中小学生研学实践教育基地 刘少奇同志纪念馆
919,“飞将军”黄公略的传奇一生
920,黄继光：舍身堵枪眼的志愿军战士
921,苏兆征:“海员的领袖”
922,再现“解放东北的最后战役”——辽沈战役纪念馆巡礼
923,邓恩铭：“宁死不屈 浩气长存”
924,深入开展企业“三讲”教育活动
925,淮海战役精神及其时代价值探析
926,军事家许光达
927,中国共产党第一次全国代表大会
928,开展师生党支部结对共建  推进创先争优活动深入开展
929,四渡赤水战役在中国革命中的历史地位再思考
930,中共六大上的王若飞
931,为革命事业英勇献身的蔡和森
932,曾与朱德毛泽东彭德怀并列的军事家黄公略
933,贺龙与南昌起义
934,中国共产党第十七次全国代表大会在京开幕
935,共产主义思想是社会主义精神文明的核心——学习胡耀邦同志在中国共产党第十二次全国代表大会上的报告的体会
936,高举建设有中国特色社会主义的伟大旗帜奋勇前进——中国共产党第十四次全国代表大会在京召开
937,高君宇：宝剑与火花之革命情怀
938,中共八大——历史性盛会(下篇)
939,被陈赓赞誉为“有战略眼光的指挥员”李成芳
940,陈延年：光明磊落 视死如归
941,朱德总力战思想研究
942,彭真基层自治的理论与实践
943,谭政文:首都公安奠基人
944,毛泽东在中共七大前后是怎样坚持底线思维谋划和推动工作的
945,多措并举  推动党史学习教育见行动出实效
946,从严治家的黄克诚
947,金城反击战:杨勇指挥抗美援朝的收官之战
948,山雨欲来路何方——记中国共产党第五次全国代表大会
949,江上青小湾子村殉国前后
950,改革开放新时期彭真政法队伍建设思想探析
951,饶守坤将军:“罗炳辉的拳头”
952,平型关大捷:不容争辩的“首战大捷”
953,王震与深圳经济特区建设
954,1950年苏南地区整风运动的历史与经验
955,论朱德在抗战时期对党的几个重大决策的突出贡献
956,中共“二大”是党的创建任务完成的界碑
957,宋任穷:人民利益高于一切
958,井冈山“五虎将”之首王尔琢
959,英年早逝的朱毛红军参谋长王尔琢
960,张思德：为人民的利益工作
961,中共一大上海会址
962,从解密档案看中共三大的三个问题
963,一份满意的答卷——“三严三实”专题教育中的漳村故事
964,文武兼备的虎胆将军——彭雪枫
965,平津战役纪念馆  全国爱国主义教育基地（六十二）
966,张思德精神及其现实启示
967,“红色金融家”毛泽民
968,谢子长：陕北红军和苏区创建人
969,抗日战争初期刘少奇对华北局势和中共在华北中心工作的思考——读《杨尚昆回忆录》
970,瞿秋白：共产党人的哲学是鞠躬尽瘁、死而后已
971,中共十三大前后的陈云
972,廖承志与香港《华商报》的创办
973,中国共产党第十九次全国代表大会的主题
974,陈云关于党的政治建设重要论述：内容、特点及启示
975,陈独秀与中共二大
976,血沃东征战场的民族英雄刘志丹
977,“十六字诀”在毛泽东指挥四渡赤水战役中的巧妙运用
978,具有划时代意义的马克思主义纲领性文献——解析习近平在中国共产党第十九次全国代表大会上的报告
979,谷牧与中日经济交流
980,邓小平关于建设有中国特色社会主义的论述专题摘编
981,胡锦涛在中国共产党第十八次全国代表大会上的报告(摘抄)
982,新民主主义革命时期习仲勋思想政治教育特色探析
983,中国共产党第十八次全国代表大会在京闭幕
984,以学术史为基，深化李大钊思想研究——写在《李大钊与近世中国的思想变动》出版之前
985,探访中共六大旧址
986,银幕上最早出现的方志敏形象——电影《血沃中华》的创作与拍摄
987,以创先争优活动推进党的先进性建设
988,四渡赤水:中央红军战略转移的决定性胜利
989,西藏山南市：守正创新推动习近平新时代中国特色社会主义思想“飞入寻常百姓家”
990,大将王树声历险记
991,青年董必武怎样转变为马克思主义者
992,中国共产党章程(中国共产党第十次全国代表大会一九七三年八月二十八日)通过)
993,王尽美：中国共产党的创始人之一
994,四渡赤水背后那支孤军
995,站在改革开放最前沿的谷牧——国务院原特区办副主任赵云栋访谈录
996,"“干臣,干臣,能干之臣”——记南昌起义时的公安局长兼卫戍司令彭干臣烈士"
997,高擎习近平新时代中国特色社会主义思想伟大旗帜——中国共产党第十九次全国代表大会巡礼
998,中国共产党第十六次全国代表大会关于《中国共产党章程(修正案)》的决议(2002年11月14日中国共产党第十六次全国代表大会通过)
999,《古田会议决议》的形成与中共六大
1000,彭德怀的湖湘文化气质
1001,中国共产党第三次全国代表大会
1002,民主革命统一战线的确立:中共三大文献研读
1003,聂荣臻与抗美援朝后勤保障工作
1004,彭湃军事思想的萌芽及其影响探析
1005,彭湃探索中国革命道路中的“减租”斗争
1006,再析中共七大屡次延期的原因
1007,论中共四大宣传工作方针的转变
1008,省港大罢工与苏兆征工人运动思想的成熟——以共产国际对中国工人运动的指导为视角
1009,论中共三大中央局的迁往上海及其影响
1010,近十五年来科学发展观理论研究回溯与展望
1011,中国共产党第十八次全国代表大会民族语文翻译工作
1012,在“公园街18号”找寻光辉足迹——赴俄罗斯参观中共六大会址展览馆记
1013,"中国共产党章程(中国共产党第十八次全国代表大会部分修改,2012年11月14日通过)"
1014,全面建设小康社会  开创中国特色社会主义事业新局面  在中国共产党第十六次全国代表大会上的报告
1015,从李大钊到习近平：关于青年思想的传承和发展
1016,浅谈新媒体视域下党的群众路线教育实践活动新途径——以沈阳工业大学继续教育学院为例
1017,中国共产党第十五次全国代表大会关于中央纪律检查委员会工作报告的决议
1018,毛泽东选集（第三卷）
1019,奉调中央 殚精十年——“内交部长”习仲勋的民族宗教实践与经验
1020,中共二大:中国共产党独立自主的最初尝试
1021,李大钊《“五一”(May Day)运动史》校勘订补
1022,中共十二大党章的历史地位
1023,"深化挖掘、服务现实,推动中共二大研究再上新台阶"
1024,中国共产党第十七次全国代表大会
1025,新常委新蓝图  新征程新期盼——中国共产党第十八次全国代表大会采访札记
1026,郭沫若为黄继光纪念馆题词修改佳话
1027,中国共产党第十四次全国代表大会关于十三届中央委员会报告的决议
1028,共同创造亚洲和世界的美好未来——在博鳌亚洲论坛2013年年会上的主旨演讲
1029,"科学发展观同马克思列宁主义、毛泽东思想、邓小平理论、“三个代表”重要思想一道,是党必须长期坚持的指导思想"
1030,钱壮飞：在对敌斗争中立下丰功伟绩
1031,中国共产党第十六次全国代表大会
1032,邓恩铭：播撒红船火种的革命先驱
1033,胡耀邦太原战役纪事
1034,习近平:中共六大会址是中国革命历程的重要旧址
1035,百年光影  HONG色青春——纪念五四运动100周年系列主题活动在中共四大纪念馆启动
1036,20世纪80年代整党运动中的“整党促经济”
1037,中共三大为何选址广州
1038,中国共产党第一次全国代表大会纪念馆
1039,张思德：全心全意为人民服务
1040,出席第三届核安全峰会并访问欧洲四国和联合国教科文组织总部、欧盟总部时的演讲
1041,一张老照片揭开李大钊葬礼细节
1042,马克思主义的传播者蔡和森
1043,毛泽东周恩来在对美外交上的珠联璧合
1044,“咬牙干部”宋任穷的革命红色情怀
1045,中共八大幕后故事
1046,论李达在建党时期思想论争中的重要作用
1047,习近平谈治国理政(第二卷)
1048,教育实践活动求实效  集聚干事创业正能量——大路煤化工基地党工委开展党的群众路线教育实践活动纪实
1049,董必武法治思想对依宪治国理论的启示
1050,黄继光：舍身忘我 英勇无畏
1051,蔡和森：用生命践行立下的誓言
1052,在中国共产党第十一次全国代表大会上关于修改党史的章程的报告
1053,"深入学习实践科学发展观活动总结之经验一:“大家好,才是真的好”——南海舰队某水警区学习实践科学发展观活动见闻"
1054,陶铸与广州起义
1055,刘少奇党建“四论” 对党员修养问题的思考与贡献
1056,党史回顾中共十一大
1057,听杨尚昆张震谈周文龙将军——党叫干啥就干啥的光辉典范
1058,解放战争时期整党运动对加强党的作风建设的启示
1059,要始终一贯的站得正、站得稳——罗瑞卿致女儿罗峪书的信
1060,谢澹如与瞿秋白、方志敏烈士文稿的保存出版
1061,萧劲光兵不血刃克长春
1062,对中共三大前后张国焘国共合作观点的再思考
1063,习近平关于严明党的纪律和规矩论述摘编
1064,五大发展理念与科学发展观之关系探要
1065,论“三个代表”
1066,天地英雄气  千秋尚凛然——平型关大捷纪念碑碑文敬读
1067,渡江战役时的英舰长江事件
1068,林伯渠的家风思想及其现实启示
1069,历史发生学视阈下中共二大纲领研究
1070,刘志丹的手枪
1071,阳泉市狮脑山百团大战纪念馆(碑)
1072,在中国共产党第十一次全国代表大会上的閉幕詞
1073,陈云和邓小平为中共八大作出的历史贡献简论
1074,论平津战役的指挥艺术
1075,王若飞:一切要为人民打算!
1076,张云逸在长征途中
1077,中国共产党第七次全国代表大会召开
1078,高君宇和石评梅研究的若干史实辨正
1079,陈赓与彭德怀的深厚情谊
1080,廖承志同志在川陕苏区
1081,中共八大前后贯彻群众路线的新挑战与新探索
1082,紧紧围绕坚持和发展中国特色社会主义　学习宣传贯彻党的十八大精神——在十八届中共中央政治局第一次集体学习时的讲话
1083,薄一波农业思想探析
1084,解放战争时期整党运动对加强党的纯洁性建设的历史启示
1085,张思德:为人民服务
1086,太原战役胡耀邦力打“攻心战”
1087,彭真法治程序性直接民主的理论与实践
1088,从北伐到广州起义：叶挺与聂荣臻的战斗友谊（上）
1089,蔡和森对中共五大的重要贡献
1090,瞿秋白与中共五大
